Title	Artist	Album Artist	Album	Year	Genre	Vocal	Url	Display Url	Id	Rights	Source
A Life Frozen in Time	Ace of Hearts	Ace of Hearts	Frozen in Time	2021		y	https://www.youtube.com/watch?v=n9hjB6dLxgk	https://www.youtube.com/watch?v=7bhz3XG6yyM&t=2153s	n9hjB6dLxgk	Allowed	https://x.com/aceofhearts/status/1320089398332002307
Deadbeat Boulevard	Ace of Hearts	Ace of Hearts	Frozen in Time	2021		y	https://www.youtube.com/watch?v=I1hwSLIBdgk	https://www.youtube.com/watch?v=7bhz3XG6yyM&t=1665s	I1hwSLIBdgk	Allowed	https://x.com/aceofhearts/status/1320089398332002307
Deep Space	Ace of Hearts	Ace of Hearts	Frozen in Time	2021		y	https://www.youtube.com/watch?v=KoLox0rZoJs	https://www.youtube.com/watch?v=7bhz3XG6yyM&t=193s	KoLox0rZoJs	Allowed	https://x.com/aceofhearts/status/1320089398332002307
Find Me in Your Dreams (feat. Deanna Gowland)	Ace of Hearts	Ace of Hearts	Frozen in Time	2021		y	https://www.youtube.com/watch?v=m3bw0oaHDaw	https://www.youtube.com/watch?v=7bhz3XG6yyM&t=358s	m3bw0oaHDaw	Allowed	https://x.com/aceofhearts/status/1320089398332002307
Lights Off	Ace of Hearts	Ace of Hearts	Frozen in Time	2021		y	https://www.youtube.com/watch?v=KMDu111zzi0	https://www.youtube.com/watch?v=7bhz3XG6yyM	KMDu111zzi0	Allowed	https://x.com/aceofhearts/status/1320089398332002307
Monophobia II	Ace of Hearts	Ace of Hearts	Frozen in Time	2021		y	https://www.youtube.com/watch?v=uzOHemfC24w	https://www.youtube.com/watch?v=7bhz3XG6yyM&t=895s	uzOHemfC24w	Allowed	https://x.com/aceofhearts/status/1320089398332002307
Queen of Everything	Ace of Hearts	Ace of Hearts	Frozen in Time	2021		y	https://www.youtube.com/watch?v=-JbDZkMuLco	https://www.youtube.com/watch?v=7bhz3XG6yyM&t=1446s	-JbDZkMuLco	Allowed	https://x.com/aceofhearts/status/1320089398332002307
Silver Lining	Ace of Hearts	Ace of Hearts	Frozen in Time	2021		y	https://www.youtube.com/watch?v=HneKOY5E7CA	https://www.youtube.com/watch?v=7bhz3XG6yyM&t=632s	HneKOY5E7CA	Allowed	https://x.com/aceofhearts/status/1320089398332002307
Waiting for Your Call	Ace of Hearts	Ace of Hearts	Frozen in Time	2021		y	https://www.youtube.com/watch?v=21akM0Fz4vE	https://www.youtube.com/watch?v=7bhz3XG6yyM&t=1880s	21akM0Fz4vE	Allowed	https://x.com/aceofhearts/status/1320089398332002307
Your Name (feat. Adriana Figueroa)	Ace of Hearts	Ace of Hearts	Frozen in Time	2021		y	https://www.youtube.com/watch?v=6E5Uv33DGdM	https://www.youtube.com/watch?v=7bhz3XG6yyM&t=1127s	6E5Uv33DGdM	Allowed	https://x.com/aceofhearts/status/1320089398332002307
Better Luck Next Time (feat. Shiki Miyoshino)	Alohaii	Alohaii	Patchwork	2026		y	https://www.youtube.com/watch?v=283Abw8m95Q		283Abw8m95Q	Allowed	https://www.youtube.com/watch?v=1xFV1L30gb8
Luxury (feat. vally.exe)	Alohaii	Alohaii	Patchwork	2026		y	https://www.youtube.com/watch?v=qRu49gpb6eQ		qRu49gpb6eQ	Allowed	https://www.youtube.com/watch?v=1xFV1L30gb8
What Are The Odds (feat. Kiyon)	Alohaii	Alohaii	Patchwork	2026		y	https://www.youtube.com/watch?v=qFadbkCGBkQ		qFadbkCGBkQ	Allowed	https://www.youtube.com/watch?v=1xFV1L30gb8
Can't Buy Happiness (feat. Wisteria Iroha)	Alohaii	Alohaii	Patchwork	2026		y	https://www.youtube.com/watch?v=kxdE82sGM0w	https://www.youtube.com/watch?v=1xFV1L30gb8	kxdE82sGM0w	Allowed	https://www.youtube.com/watch?v=1xFV1L30gb8
